Region,Site,Area,Note,Locus ID,Original Sort Order,Locus/Wall,Number,Square,Phase,Contextual Integrity (I) Code,Contextual Integrity (I),Phasing of Contents (PoC),Comments,Context,Chapter,Status
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9161,167,Locus,9161,AI/33,1b?,d,disturbed,⪰3,Fill,--," Dor IIIA: 9, 13",Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9162,168,Wall,9162,AK/32,5?/4??,--,--,--,Fieldstone wall forming a corner with W9217,--, Dor IIA: 14,Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9163,169,Locus,9163,AK/32,5?,u,unsealed,3–5,Hard brown fill,--, Dor IIIA: 12,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9164,170,Locus,9164,AI/34,≻1a,d,disturbed,≻1a,Topsoil,--, Dor IIIA: 10,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9165,171,Locus,9165,AI/31,5?,d,disturbed,1–5,Fill to F9165,--, Dor IIA: 8,Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9166,172,Locus,9166,AJ/32,--,n,non-stratified,--,"Cleaning, beginning of season",--, Dor IIA: 14,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9167,173,Locus,9167,AI/34,≻1a,d,disturbed,≻1a,Topsoil,--, Dor IIIA: 10,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9168,174,Locus,9168,AJ/33,⪰4,u,unsealed,⪰4,"Pit 9168 (L9043 = L9067 = L9291). Partly under W9003, cuts W9140, W9262 and W9400.",Pit 9168, Dor IIIA: 13,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9169,175,Locus,9169,AI/34,⪰1a,d,disturbed,⪰1a,Topsoil/fill above drains,--, Dor IIIA: 10,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9170,176,Locus,9170,AI/34,⪰1a,d,disturbed,⪰1a,Topsoil/fill above drains,--, Dor IIIA: 10,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9171,177,Locus,9171,AI/33,4–5?,d?,possibly disturbed,4–5?,"Fill, part of or cut by Persian Pit 9251",," Dor IIIA: 9, 13",Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9172,178,Locus,9172,AI/33,4,u,unsealed,4/5?,Pit 9251 (L9251= L9172 = L9184 = L9193 = L9195),Pit 9251," Dor IIIA: 9, 10, 13, 14",Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9173,179,Locus,9173,AJ/32,6?/7?,d,disturbed,4–6,"Mixed locus, Phase 4 pit and Phase 6 mudbrick",6 and later, Dor IIA: 14,Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9174,180,Locus,9174,AK/32,Pre-3,u,unsealed,≺3,Fill alongside W9147; maybe top of Pit 9460?,--, Dor IIIA: 12,Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9175,181,Locus,9175,AK/32,≻3,u,unsealed,≻3,Fill in Robber Trench 9451 (of W9510),--," Dor IIIA: 12, 13",Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9176,182,Locus,9176,AK/32,≻3,u,unsealed,≻3,Fill in Robber Trench 9451 (of W9510),--," Dor IIIA: 12, 13",Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9177,183,Locus,9177,AK/32,≻3,u,unsealed,≻3,Fill in Robber Trench 9451 (of W9510),--," Dor IIIA: 12, 17",Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9178,184,Locus,9178,AJ/32,6?/7?,u,unsealed,6,Mudbrick material down to floor,6, Dor IIA: 14,Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9179,185,Locus,9179,AJ/34,6b?/6a??/7??,d,disturbed,1–6,Floor deposit with later disturbed material above,6 and later, Dor IIA: 12,Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9180,186,Wall,9180,AJ/34,6b?/6a??/7??,--,--,--,Fieldstone wall,--, Dor IIA: 12,Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9181,187,Locus,9181,AJ/34,4,d,disturbed,4,Pit 9181 (L9181 = L9187 = L9316[early] = L9634); mix of Pit and disturbed fills,Pit 9181," Dor IIIA: 13, 14",Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9182,188,Locus,9182,AI/33,4,u,unsealed,4,Pit 9463 (L9463 = L9182 =  L9513 = L9552 = L9664 = L9260),Pit 9463," Dor IIIA: 8, 9",Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9183,189,Locus,9183,AI/33,6/5?,d?,possibly disturbed,6+5,Mudbrick fill probably contaminated by Phase 4 Pit L9664,--, Dor IIA: 10,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9184,190,Locus,9184,AI/33,4,u,unsealed,4,Pit 9251 (L9251= L9172 = L9184 = L9193 = L9195),Pit 9251," Dor IIIA: 9, 10, 13, 14",Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9185,191,Locus,9185,AJ/32,6?,u,unsealed,6?,Ashy pit fill,--, Dor IIA: 14,Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9186,192,Locus,9186,AJ/34,4,u,unsealed,4/5?,Part of Pit 9680 (L9680 = L9186 = L9613 = L9649 = L9778 = part of L9754),Pit 9680, Dor IIIA: 14,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9187,193,Locus,9187,AJ/34,4,d,disturbed,4/5?,Pit 9181 (L9181 = L9187 = L9316[early] = L9634),Pit 9181 ," Dor IIIA: 13, 14",Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9188,194,Locus,9188,AK/32,4?/5?,u,unsealed,,Grayish fill,--, Dor IIIA: AK32,Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9189,195,Locus,9189,AK/32,3–4?,u,unsealed,3–4?,Makeup for pavement F9132 and fill alongside W9147,--, Dor IIIA: AK32,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9190,196,Locus,9190,AJ/32,6?,d?,possibly disturbed,6?+7?,Mixed locus,--, Dor IIA: 14,Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9191,197,Locus,9191,AJ/34,7?/6b??/8??,u,unsealed,7,"Mudbrick material to floor, =F9276, resurfacing of F9548",7, Dor IIA: 12,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9192,198,Locus,9192,AI/33,6?/5?,d,disturbed,6+5+4,Mudbrick fill contaminated by Phase 4 Pit L9251,--, Dor IIA: 10,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9193,199,Locus,9193,AI/33,4,u,unsealed,4,Pit 9251 (L9172 = L9184 = L9193 = L9195 = L9251),Pit 9251," Dor IIIA: 9, 10, 13, 14",Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9194,200,Locus,9194,AI/33,6?/5?,d,disturbed,6+5+4,Mudbrick fill contaminated by Phase 4 Pit L9251,--, Dor IIA: 10,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9195,201,Locus,9195,AI/33,4,u,unsealed,4,Pit 9251 (L9172 = L9184 = L9193 = L9195 = L9251),Pit 9251," Dor IIIA: 9, 10, 13, 14",Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9196,202,Locus,9196,AK/32,5?/6?,u,unsealed,5?/6?,Hard brown fill,--, Dor IIA: 14,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9197,203,Locus,9197,AI/34,⪰1a,d,disturbed,⪰1a,Robber Trench of Drain L9111,--, Dor IIIA: 10,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9198,204,Locus,9198,AI/34,2?/3?,u,unsealed,2–3,Fill north and east of Roman Drains 9103 and 9111,--, Dor IIIA: 10,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9199,205,Locus,9199,AI/34,2?/3?,u,unsealed,2–3,Fill east of Roman Drain L9111,--, Dor IIIA: 10,Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9200,206,Wall,9200,AK/32,3/2?,--,--,--,Two limestone blocks for wall/foundation trench perpendicular to W9147,--, Dor IIIA: 12,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9201,207,Locus,9201,AI/34,2?/3?,u,unsealed,2–3,Fill south of Roman Drain L9111,--, Dor IIIA: 10,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9202,208,Locus,9202,AJ/34,4?/5?/6?,d?,possibly disturbed,⪰6,Part of pit? Robber trench of W9211? Part of wall collapse?,--," Dor IIIA: 13, Dor IIA:12",Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9203,209,Locus,9203,AJ/32,6?/7?,u,unsealed,6+7,Mudbrick material and rubble,--, Dor IIA: 14,Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9204,210,Locus,9204,AJ/32,7?/6?,u,unsealed,7?/6?,"oven, associated with F9154 and W9140",--, Dor IIA: 14,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9205,211,Locus,9205,AI/34,≻1a,d,disturbed,≻1a,"Fill east and north of W9096, probably contaminated by Robber Trench of Roman Drain 9698",--, Dor IIIA: 10,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9206,212,Locus,9206,AJ/32,7,u,unsealed,7+6?,Makeup of floor L9154 including the oven,--, Dor IIA: 14,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9207,213,Locus,9207,AI/32,1b,d,disturbed,1–6/7?,Part of Disturbance 9100 (L9100 = L9130 = L9151 = L9207 = L9622 = L9677 are all part of Disturbance 9100 in AI/32),--, Dor IIIA: 12,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9208,214,Locus,9208,AI/32,--,--,--,--,Not excavated; place marker. Excavated as L9235,--, Dor IIIA: 12,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9209,215,Locus,9209,AI/33,6?/5?,u,unsealed,5+6,Mudbrick debris under Roman remains,--," Dor IIA: 10, 13",Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9210,216,Locus,9210,AI/32,--,--,--,--,Not excavated; place marker. Excavated as L9235,--, Dor IIIA: 12,Not Final
Israel,Tel Dor,AI–AJ:32–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9211,217,Wall,9211,AI–AJ/34,6–8,--,--,--,Fieldstone north wall of the Phases 9–8 house,--," Dor IIA: 5, 10, 11,
12, 13,
15",Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9212,218,Wall,9212,AJ/34,6b?/6a??/7??,--,--,--,Fieldstone wall,--, Dor IIA: 12,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9213,219,Locus,9213,AI/32,6a?,d,disturbed,6a+4,"Phase 6a fill, contaminated by Pit L9168?",--, Dor IIA: 9,Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9214,220,Locus,9214,AJ/34,6b?/7?,u,unsealed,6?,Mudbrick debris,6 and later, Dor IIA: 12,Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9215,221,Locus,9215,AJ/34,6?/7?,d,disturbed,6+7?+4?,"Fill, contaminated by Pit L9181","Pit 9181 –
6 and later", Dor IIA: 12,Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9216,222,Wall,9216,AJ/34,"6b?/6a??/7??–
7?/6b??/8??",--,--,--,Mudbrick wall,--, Dor IIA: 12,Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9217,223,Wall,9217,AK/32,5?/4??,--,--,--,Fieldstone wall forming a corner with W9162.,--, Dor IIA: 14,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9218,224,Locus,9218,,,,,,Not used,,,Final
Israel,Tel Dor,AH:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9219,225,Wall,9219,AH/33,3,--,--,--,Stub of north–south wall dovetailed into W9278 from the south. Original number = W9279.,"5, 9",,Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9220,226,Locus,9220,AK/33,⪰1,n,non-stratified,⪰1,Topsoil,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9221,227,Locus,9221,AK/34,⪰1a,d,disturbed,⪰1a,Topsoil,--, Dor IIIA: 15,Not Final
Israel,Tel Dor,AL:34–35,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9222,228,Locus,9222,AL/34–35,⪰1,d,disturbed,⪰1,Topsoil down to floor,--, Dor IIIA: 16,Not Final
Israel,Tel Dor,AH:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9223,229,Locus,9223,AH/33,⪰1,d,disturbed,⪰1,Topsoil,--, Dor IIIA: 5,Not Final
Israel,Tel Dor,AH:34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9224,230,Locus,9224,AH/34,⪰1a,d,disturbed,⪰1a,Topsoil,--, Dor IIIA: 6,Not Final
Israel,Tel Dor,AH:34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9225,231,Locus,9225,AH/34,⪰1a,d,disturbed,⪰1a,Unsealed fill; likely disturbed by Robber Trench of W9282 (L9226),--, Dor IIIA: 5,Not Final
Israel,Tel Dor,AH:34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9226,232,Locus,9226,AH/34,⪰1a,d,disturbed,⪰1a,Robber Trench of W9282,--, Dor IIIA: 6,Not Final
Israel,Tel Dor,AH:34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9227,233,Locus,9227,AH/34,⪰1a,d,disturbed,⪰1a,Unsealed fill above the Phase 1a F9321,--, Dor IIIA: 6,Not Final
Israel,Tel Dor,AH:34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9228,234,Locus,9228,AH/34,⪰1a,d,disturbed,⪰1a,Robber Trench of W9253,--, Dor IIIA: 6,Not Final
Israel,Tel Dor,AH:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9229,235,Locus,9229,AH/33,⪰1a,d,disturbed,⪰1a,Fill down to F9229; probably mixed with Robber Trench material from L9241,--, Dor IIIA: 5,Not Final
Israel,Tel Dor,AH:34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9230,236,Locus,9230,AH/34,⪰1a,d,disturbed,⪰1a,Robber Trench (L9226) of W9282,--, Dor IIIA: 5,Not Final
Israel,Tel Dor,AH:34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9231,237,Locus,9231,AH/34,1a,u,unsealed,1a,Unsealed fill down to Phase 1a F9231. In situ ceramics.,9231," Dor IIIA: 5, 6",Not Final
Israel,Tel Dor,AL:34–35,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9232,238,Wall,9232,AL/34–35,1a?–1b,--,--,--,Header wall,--, Dor IIIA: 16,Not Final
Israel,Tel Dor,AH:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9233,239,Locus,9233,AH/33,1a,u,unsealed,⪰1a,Shell deposit on F9229,--, Dor IIIA: 5,Not Final
Israel,Tel Dor,AL:34–35,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9234,240,Wall,9234,AL/34–35,1a?–1b,--,--,--,Header-stretcher wall,--," Dor IIIA: 15, 16",Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9235,241,Locus,9235,AI/32,⪰7a,u,unsealed,⪰7a,"Phase 7a fill, contaminated by (unrecognized) Phase 2 Sump 9048",--," Dor IIIA: 12 , Dor IIA: 9",Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9236,242,Locus,9236,AI/32,⪰7a,d,disturbed,7–4?,"Phase 7a fill, contaminated by Pit L9168?",--," Dor IIA: 9, 10",Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9237,243,Locus,9237,AK/33,1a/1b??,d?,possibly disturbed,⪰1,From topsoil to floor: stones on kurkar: paving stones: 1a Kurkar: 1a sub-floor? 1b?,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9238,244,Locus,9238,AK/33,≻1,u,unsealed,≻1a,Robber Trench of Blob W9003 and W9015,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AH:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9239,245,Locus,9239,AH/33,1b,s,sealed,1,Sealed floor makeup of F9229,--, Dor IIIA: 5,Not Final
Israel,Tel Dor,AH:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9240,246,Locus,9240,AH/33,1b,u,unsealed,⪰1b,Unsealed fill below level of F9229 down to pavement (pavement is L9264),--, Dor IIIA: 5,Not Final
Israel,Tel Dor,AH:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9241,247,Locus,9241,AH/33,⪰1a,d,disturbed,≻1a,"Robber Trench 9241 for W9288, W9278, W9274, and W9219",--, Dor IIIA: 5,Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9242,248,Locus,9242,AK/33,2?/3?/4?,u,unsealed,2?/3?/4?,"Deposit besides [foundation course of?] W9243, above W9147; Similar to podium-fill L9270.",--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9243,249,Wall,9243,AK/34,2,--,--,--,Header wall. Part in AK/34 is W92043(N) while part in AK/33 is W9243(S),--," Dor IIIA: 9, 13, 15",Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9244,250,Locus,9244,AK/33,1(b?),u,unsealed,⪰1,Robber Trench of W9510. Robbing preceded the phase 1a Blob but cut the 1b W9015,--, Dor IIIA: 13,Not Final
