column,Question #,Rename Column,count_not_blank,count_unique,max_word_count,mean_word_count,max_char_length,mean_char_length,Important for Analysis,Section,Sub-Section
"Have you ever received/worked with a dataset you havenâ€™t been able to understand? Please select all that apply and/or explain. - Selected Choice - Data Volumes: File size, memory or other computing requirements",14,[CANT UNDERSTAND] Too big - memory issues,460,3,9,2.756521739,63,14.83478261,,FAIR,Interoperable
"Have you ever received/worked with a dataset you havenâ€™t been able to understand? Please select all that apply and/or explain. - Selected Choice - Encrypted or Locked Data: Came across data that was locked or scrambled, needing special knowledge or tools to access.",14,[CANT UNDERSTAND] Encrypted,461,3,19,5.685466377,118,31.68112798,,FAIR,Interoperable
Have you ever received/worked with a dataset you havenâ€™t been able to understand? Please select all that apply and/or explain. - Selected Choice - Language: Received data in a language you don't speak or in terms that were specific to a certain place that you were not familiar with.,14,[CANT UNDERSTAND] Language or terminology unknown,461,3,25,4.227765727,136,19.38177874,,FAIR,Interoperable
Have you ever received/worked with a dataset you havenâ€™t been able to understand? Please select all that apply and/or explain. - Selected Choice - Complex Analysis Needed: The data needed complex analysis that was beyond your current skills.,14,"[CANT UNDERSTAND] No skills to analyze, too complex",461,3,14,3.312364425,94,17.76789588,,FAIR,Interoperable
Have you ever received/worked with a dataset you havenâ€™t been able to understand? Please select all that apply and/or explain. - Selected Choice - Questionable Data Quality: Worked with data where it was unclear if the information was accurate or trustworthy.,14,[CANT UNDERSTAND] Questionable data quality,461,3,17,8.670281996,112,54.43817787,,FAIR,Interoperable
"Have you ever received/worked with a dataset you havenâ€™t been able to understand? Please select all that apply and/or explain. - Selected Choice - Varied Types of Data: Encountered data sets that mixed different kinds of information, like written notes and digital files, requiring knowledge beyond just archaeology to understand.",14,[CANT UNDERSTAND] Varied types of data,461,3,26,8.700650759,183,57.28633406,,FAIR,Interoperable
Have you ever received/worked with a dataset you havenâ€™t been able to understand? Please select all that apply and/or explain. - Selected Choice - Other or additional explanation:,14,[CANT UNDERSTAND] Other,461,3,4,1.214750542,32,3.444685466,,FAIR,Interoperable
Have you ever received/worked with a dataset you havenâ€™t been able to understand? Please select all that apply and/or explain. - Other or additional explanation: - Text,14,[CANT UNDERSTAND] Other - text,459,31,103,2.403050109,579,11.59041394,,FAIR,Interoperable
Which shared terms (used by others) work best for you to make your data interoperable with other data? - Selected Choice - Categories defined by a State Historic Preservation Office (SHPO),15,[SHARED TERMS THAT WORK] SHPO categories,461,3,9,4.470715835,65,28.9132321,,FAIR,Interoperable
Which shared terms (used by others) work best for you to make your data interoperable with other data? - Selected Choice - A clientâ€™s categories,15,[SHARED TERMS THAT WORK] Client's categories,461,3,3,1.264642082,23,4.05856833,,FAIR,Interoperable
Which shared terms (used by others) work best for you to make your data interoperable with other data? - Selected Choice - A taxonomy or typology,15,[SHARED TERMS THAT WORK] Taxonomy or typology,461,3,4,2.665943601,22,12.80911063,,FAIR,Interoperable
Which shared terms (used by others) work best for you to make your data interoperable with other data? - Selected Choice - Dates/periods,15,"[SHARED TERMS THAT WORK] Dates, periods",461,3,1,1,13,7.446854664,,FAIR,Interoperable
Which shared terms (used by others) work best for you to make your data interoperable with other data? - Selected Choice - A museumâ€™s digital type collection,15,[SHARED TERMS THAT WORK] Museum type collection,461,3,5,1.84164859,36,8.511930586,,FAIR,Interoperable
Which shared terms (used by others) work best for you to make your data interoperable with other data? - Selected Choice - Co-created terms (explain),15,[SHARED TERMS THAT WORK] Co-created terms,461,3,3,1.095444685,26,2.340563991,,FAIR,Interoperable
Which shared terms (used by others) work best for you to make your data interoperable with other data? - Selected Choice - Other (explain),15,[SHARED TERMS THAT WORK] Other,461,3,2,1.088937093,15,2.392624729,,FAIR,Interoperable
Which shared terms (used by others) work best for you to make your data interoperable with other data? - Selected Choice - I don't use shared terms,15,[SHARED TERMS THAT WORK] Don't use shared terms,461,3,5,1.260303688,24,2.644251627,,FAIR,Interoperable
Which shared terms (used by others) work best for you to make your data interoperable with other data? - Co-created terms (explain) - Text,15,[SHARED TERMS THAT WORK] Co-created terms - text explanation,461,19,26,1.284164859,183,5.145336226,,FAIR,Interoperable
Which shared terms (used by others) work best for you to make your data interoperable with other data? - Other (explain) - Text,15,[SHARED TERMS THAT WORK] Other -text,461,42,215,2.386117137,1496,12.68329718,,FAIR,Interoperable
"Select the most common types of media you use to manage data (leave blank if you don't use that type of data): - Selected Choice - Documents (e.g. .docx, .pdf)",16,[MEDIA USED] Documents,447,3,4,3.55704698,28,24.06711409,,FAIR,Reusable
"Select the most common types of media you use to manage data (leave blank if you don't use that type of data): - Selected Choice - Photos (e.g .jpeg, .tif, .png, raw)",16,[MEDIA USED] Photos,447,3,6,5.026845638,35,28.43624161,,FAIR,Reusable
"Select the most common types of media you use to manage data (leave blank if you don't use that type of data): - Selected Choice - Movies (e.g. .mp4, .avi, .mov)",16,[MEDIA USED] Movies,447,3,5,1.760626398,30,6.568232662,,FAIR,Reusable
"Select the most common types of media you use to manage data (leave blank if you don't use that type of data): - Selected Choice - Sound (e.g. .aiff, .mp3, .aac, .wav)",16,[MEDIA USED] Sound,447,3,6,1.738255034,36,6.22147651,,FAIR,Reusable
"Select the most common types of media you use to manage data (leave blank if you don't use that type of data): - Selected Choice - Geospatial (e.g. .shp, .kml, .kmz, .gbd, geojson)",16,[MEDIA USED] Geospatial,447,3,7,4.530201342,49,29.29530201,,FAIR,Reusable
"Select the most common types of media you use to manage data (leave blank if you don't use that type of data): - Selected Choice - 3D (.obj, .stl, .3ds)",16,[MEDIA USED] 3D,447,3,4,1.44966443,21,4.051454139,,FAIR,Reusable
"Select the most common types of media you use to manage data (leave blank if you don't use that type of data): - Selected Choice - Structured data - i.e. tables, databases (e.g. .xlsx, .csv, .mdb, .json, .xml, .rdf)",16,"[MEDIA USED] Tables, databases",447,3,13,9.67114094,84,61.02908277,,FAIR,Reusable
"Select the most common types of media you use to manage data (leave blank if you don't use that type of data): - Selected Choice - Proprietary instrument or other specialized media (e.g. drone, photogrammetry, laser scan data)",16,[MEDIA USED] Specialized propritary,447,3,12,2.599552573,96,14.86800895,,FAIR,Reusable
"Select the most common types of media you use to manage data (leave blank if you don't use that type of data): - Selected Choice - Other (e.g. cloud formats such as Google sheets, Google docs, etc.)",16,[MEDIA USED] Other,447,3,11,2.700223714,67,12.27516779,,FAIR,Reusable
"Select the most common types of media you use to manage data (leave blank if you don't use that type of data): - Proprietary instrument or other specialized media (e.g. drone, photogrammetry, laser scan data) - Text",16,[MEDIA USED] Specialized propritary - text,447,13,10,1.062639821,88,3.695749441,,FAIR,Reusable
"Select the most common types of media you use to manage data (leave blank if you don't use that type of data): - Other (e.g. cloud formats such as Google sheets, Google docs, etc.) - Text",16,[MEDIA USED] Other - text,447,31,22,1.313199105,123,5.1901566,,FAIR,Reusable
"Do you set clear expectations about attribution, citation, and other conditions for people to follow when they reuse your data? (for example, a copyright license) - Selected Choice - No reuse allowed (all rights reserved)",17,[REUSE EXPECTATIONS] No reuse allowed,447,3,6,1.469798658,38,4.58836689,,FAIR,Reusable
"Do you set clear expectations about attribution, citation, and other conditions for people to follow when they reuse your data? (for example, a copyright license) - Selected Choice - Yes, with a more permissive license (such as Creative Commons)",17,"[REUSE EXPECTATIONS] Yes, with permissive license like CC",447,3,10,4.201342282,62,22.8098434,,FAIR,Reusable
"Do you set clear expectations about attribution, citation, and other conditions for people to follow when they reuse your data? (for example, a copyright license) - Selected Choice - Yes, other [please explain your specific license or other procedure]",17,"[REUSE EXPECTATIONS] Yes, other",447,3,10,2.55033557,68,12.65324385,,FAIR,Reusable
"Do you set clear expectations about attribution, citation, and other conditions for people to follow when they reuse your data? (for example, a copyright license) - Selected Choice - No",17,[REUSE EXPECTATIONS] No,447,3,1,1,3,1.331096197,,FAIR,Reusable
"Do you set clear expectations about attribution, citation, and other conditions for people to follow when they reuse your data? (for example, a copyright license) - Selected Choice - Not sure / I donâ€™t know",17,[REUSE EXPECTATIONS] Not sure,447,3,6,1.939597315,25,5.621923937,,FAIR,Reusable
"Do you set clear expectations about attribution, citation, and other conditions for people to follow when they reuse your data? (for example, a copyright license) - Yes, other [please explain your specific license or other procedure] - Text",17,"[REUSE EXPECTATIONS] Yes, other - text",446,74,48,3.206278027,310,17.74887892,,FAIR,Reusable
Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - Password protection on devices and files,18,[SECURITY] Password protected,447,3,6,3.941834452,40,24.00447427,,FAIR,Reusable
Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - Encryption of files and communications,18,[SECURITY] Encryption,447,3,5,2.011185682,38,10.41163311,,FAIR,Reusable
Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - Regular software and system updates,18,[SECURITY] Regular system updates,447,3,5,3.263982103,35,20.30201342,,FAIR,Reusable
"Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - Secure backup solutions (e.g., encrypted external drives, cloud backup)",18,[SECURITY] Secure backup,447,3,9,5.15212528,71,37.38926174,,FAIR,Reusable
"Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - Controlled access policies (e.g., role-based access to data)",18,[SECURITY] Controlled access policies,447,3,8,4.33557047,60,29.17225951,,FAIR,Reusable
"Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - Physical security measures (e.g., locked filing cabinets, secure facility access)",18,[SECURITY] Physical security measures,447,3,10,4.503355705,81,32.19910515,,FAIR,Reusable
Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - Training on data security for staff,18,[SECURITY] Training on data security,447,3,6,2.454138702,35,10.94630872,,FAIR,Reusable
"Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - Use of secure networks (e.g., VPNs, secure Wi-Fi)",18,[SECURITY] Secure networks,447,3,8,4.272930649,49,23.50111857,,FAIR,Reusable
Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - Data anonymization or pseudonymisation,18,[SECURITY] Anonymization,447,3,4,1.295302013,38,4.700223714,,FAIR,Reusable
Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - Compliance with GDPR (General Data Protection Regulation) (Adhering to EU regulations on data protection and privacy.),18,"[SECURITY] Compliance with GDPR, EU regulations",447,3,16,2.409395973,118,12.05145414,,FAIR,Reusable
"Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - Compliance with IRB (Institutional Review Board) guidelines (Following protocols for ethical research involving human subjects, often applicable in studies where human remains or sensitive cultural information is involved.)",18,[SECURITY] Compliance with IRB,447,3,28,4.986577181,223,33.83668904,,FAIR,Reusable
Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - Compliance with other industry-specific regulations (please specify other regulatory compliance relevant to your data security practices),18,[SECURITY] Compliance with other industry regulations,447,3,16,2.040268456,137,10.48993289,,FAIR,Reusable
Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - I do not have any specific measures in place,18,[SECURITY] I do not have measures in place,447,3,9,1.644295302,44,4.521252796,,FAIR,Reusable
Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - I am not sure what measures are in place,18,[SECURITY] I'm not sure what measures are in place,447,3,9,1.51901566,40,3.58836689,,FAIR,Reusable
Do you have data security measures in place to protect confidential information? (select all that apply) - Selected Choice - Other (please explain):,18,[SECURITY] Other,447,3,3,1.085011186,23,1.993288591,,FAIR,Reusable
Do you have data security measures in place to protect confidential information? (select all that apply) - Compliance with other industry-specific regulations (please specify other regulatory compliance relevant to your data security practices) - Text,18,[SECURITY] Compliance with other industry regulations - text,447,20,15,1.252796421,108,5.031319911,,FAIR,Reusable
Do you have data security measures in place to protect confidential information? (select all that apply) - Other (please explain): - Text,18,[SECURITY] Other - text,447,20,36,1.63310962,201,7.087248322,,FAIR,Reusable
"If yes, what types of information do you keep confidential and/or secure and under what circumstances? (e.g. location, subject matter, personally identifiable information)",19,[SECURE DATA TYPES] Text,446,233,79,5.544843049,481,39.10986547,,FAIR,Reusable
"In a perfect world, what would help you most to implement data access and reuse? (drag the options around to rank them in order) - Government regulations to set such policies/rules",20,[IDEAL DATA ACCESS AND REUSE] Government regulations,447,10,1,1,5,3.201342282,Yes,FAIR,Reusable
"In a perfect world, what would help you most to implement data access and reuse? (drag the options around to rank them in order) - Tribal or similar regulations/guidelines to set such policies/rules",20,"[IDEAL DATA ACCESS AND REUSE] Tribal regulations, guidelines",447,10,1,1,5,3.201342282,Yes,FAIR,Reusable
"In a perfect world, what would help you most to implement data access and reuse? (drag the options around to rank them in order) - Regulations/guidelines from research funding bodies to set such policies/rules",20,"[IDEAL DATA ACCESS AND REUSE] Research funding regulations, guidelines",447,10,1,1,5,3.201342282,Yes,FAIR,Reusable
"In a perfect world, what would help you most to implement data access and reuse? (drag the options around to rank them in order) - Defined internal/institutional rules to follow",20,[IDEAL DATA ACCESS AND REUSE] Institutional rules,447,10,1,1,5,3.201342282,Yes,FAIR,Reusable
"In a perfect world, what would help you most to implement data access and reuse? (drag the options around to rank them in order) - Financial support for archiving",20,[IDEAL DATA ACCESS AND REUSE] Financial support for archiving,447,10,1,1,5,3.201342282,Yes,FAIR,Reusable
"In a perfect world, what would help you most to implement data access and reuse? (drag the options around to rank them in order) - Guidelines from journals and publishers",20,"[IDEAL DATA ACCESS AND REUSE] Guidelines from publishers, journals",447,10,1,1,5,3.201342282,Yes,FAIR,Reusable
"In a perfect world, what would help you most to implement data access and reuse? (drag the options around to rank them in order) - Guidelines from repositories",20,[IDEAL DATA ACCESS AND REUSE] Guidelines from repositories,447,10,1,1,5,3.201342282,Yes,FAIR,Reusable
"In a perfect world, what would help you most to implement data access and reuse? (drag the options around to rank them in order) - Guidelines from professional organizations",20,[IDEAL DATA ACCESS AND REUSE] Guidelines from professional orgs,447,10,1,1,5,3.201342282,Yes,FAIR,Reusable
"In a perfect world, what would help you most to implement data access and reuse? (drag the options around to rank them in order) - Training for individuals and institutions to comply with new policies",20,[IDEAL DATA ACCESS AND REUSE] Training for indivs and orgs,447,10,1,1,5,3.201342282,Yes,FAIR,Reusable
"How do you define Indigenous Data in your sector and how did you arrive at this definition? (Note: ""I don't know"" or ""I Googled it"" are both acceptable answers!)",21,,431,301,112,9.802784223,672,62.42923434,Yes,CARE,
"Do you have policies beyond federal, state, and local laws, about engaging with Indigenous Peoples or Descendant Communities when developing work products? (e.g , grant writing, developing a scope of work) - Selected Choice",22,"[ENGAGEMENT POLICIES] Yes, No, Sometimes, Don't know",421,5,16,6.095011876,96,35.57957245,,CARE,Collective Benefit
"Do you have policies beyond federal, state, and local laws, about engaging with Indigenous Peoples or Descendant Communities when developing work products? (e.g , grant writing, developing a scope of work) - Yes (if yes, provide some examples of policies (e.g. IRB, Ethics Review, Tribal Review or other) - Text",22,[ENGAGEMENT POLICIES] Yes - text,421,120,92,5.021377672,571,31.01662708,,CARE,Collective Benefit
Do you engage with Indigenous Peoples and/or Descendant Communities during any of these activities? (select all that apply) - Brainstorming,23,[ENGAGE WHEN] Brainstorming,421,6,3,1.916864608,18,11.02375297,,CARE,Collective Benefit
Do you engage with Indigenous Peoples and/or Descendant Communities during any of these activities? (select all that apply) - Grant writing,23,[ENGAGE WHEN] Grant writing,421,6,3,1.764845606,18,9.534441805,,CARE,Collective Benefit
Do you engage with Indigenous Peoples and/or Descendant Communities during any of these activities? (select all that apply) - Project design,23,[ENGAGE WHEN] Project design,421,6,3,2.002375297,18,11.82660333,,CARE,Collective Benefit
"Do you engage with Indigenous Peoples and/or Descendant Communities during any of these activities? (select all that apply) - Development of proposals for an Institutional Research Board, Research Ethics Board, Tribal Review Board or similar",23,"[ENGAGE WHEN] IRB, ethics board, tribal review board",421,6,3,1.77672209,18,8.883610451,,CARE,Collective Benefit
Do you engage with Indigenous Peoples and/or Descendant Communities during any of these activities? (select all that apply) - Development of a data management plan,23,[ENGAGE WHEN] DMP development,421,6,3,1.698337292,18,9.32304038,,CARE,Collective Benefit
Do you engage with Indigenous Peoples and/or Descendant Communities during any of these activities? (select all that apply) - Development of data use policy,23,[ENGAGE WHEN] data use policy development,421,6,3,1.714964371,18,9.087885986,,CARE,Collective Benefit
Do you engage with Indigenous Peoples and/or Descendant Communities during any of these activities? (select all that apply) - Data collection or acquisition,23,"[ENGAGE WHEN] data collection, acquisition",421,6,3,1.961995249,18,11.19477435,,CARE,Collective Benefit
Do you engage with Indigenous Peoples and/or Descendant Communities during any of these activities? (select all that apply) - Analysis,23,[ENGAGE WHEN] analysis,421,6,3,1.914489311,18,11.19239905,,CARE,Collective Benefit
Do you engage with Indigenous Peoples and/or Descendant Communities during any of these activities? (select all that apply) - Reporting/dissemination/sharing,23,"[ENGAGE WHEN] reporting, dissemination",421,6,3,2.026128266,18,11.95724466,,CARE,Collective Benefit
Do you engage with Indigenous Peoples and/or Descendant Communities during any of these activities? (select all that apply) - Preservation and curation,23,"[ENGAGE WHEN] preservation, curation",421,6,3,1.992874109,18,11.39429929,,CARE,Collective Benefit
Do you engage with Indigenous Peoples and/or Descendant Communities during any of these activities? (select all that apply) - Secondary use of data,23,[ENGAGE WHEN] seconardy use of data,421,6,3,1.855106888,18,10.31353919,,CARE,Collective Benefit
Do you engage with Indigenous Peoples and/or Descendant Communities during any of these activities? (select all that apply) - N/A,23,[ENGAGE WHEN] Not applicable,421,6,3,1.41567696,18,5.548693587,,CARE,Collective Benefit
Do you have processes or mechanisms to disclose Indigenous and/or Descendant Community data held in your work setting to others outside the institution? - Yes - Indigenous Peoples,24,[DISCLOSURE PROCESS] Yes to Indigenous Peoples,421,3,2,1.389548694,18,8.748218527,,CARE,Collective Benefit
Do you have processes or mechanisms to disclose Indigenous and/or Descendant Community data held in your work setting to others outside the institution? - Yes - Descendant Communities,24,[DISCLOSURE PROCESS] Yes to Descendant Communities,421,3,2,1.296912114,22,8.361045131,,CARE,Collective Benefit
Do you have processes or mechanisms to disclose Indigenous and/or Descendant Community data held in your work setting to others outside the institution? - No - Indigenous Peoples,24,[DISCLOSURE PROCESS] No to Indigenous Peoples,421,3,2,1.32304038,18,7.764845606,,CARE,Collective Benefit
Do you have processes or mechanisms to disclose Indigenous and/or Descendant Community data held in your work setting to others outside the institution? - No - Descendant Communities,24,[DISCLOSURE PROCESS] No to Descendant Communities,421,3,2,1.311163895,22,8.80760095,,CARE,Collective Benefit
Do you have processes or mechanisms to disclose Indigenous and/or Descendant Community data held in your work setting to others outside the institution? - Donâ€™t know - Indigenous Peoples,24,[DISCLOSURE PROCESS] Don't know to Indigenous Peoples,421,3,2,1.209026128,18,6.059382423,,CARE,Collective Benefit
Do you have processes or mechanisms to disclose Indigenous and/or Descendant Community data held in your work setting to others outside the institution? - Donâ€™t know - Descendant Communities,24,[DISCLOSURE PROCESS] Don't know to Descendant Communities,421,3,2,1.216152019,22,7.045130641,,CARE,Collective Benefit
"Please provide examples of such processes or mechanisms: 
(Reminder: Keep your response general to not reveal personal or institutional details.)",25,[DISCLOSURE PROCESS] Text,418,158,190,8.504784689,1243,52.55263158,,CARE,Collective Benefit
Do you have processes to actively facilitate the use and reuse of data by Indigenous Peoples and/or Descendant Communities represented in those data? - Yes - Indigenous Peoples,26,[REUSE PROCESS] Yes to Indigenous Peoples,421,3,2,1.301662708,18,7.444180523,,CARE,Collective Benefit
Do you have processes to actively facilitate the use and reuse of data by Indigenous Peoples and/or Descendant Communities represented in those data? - Yes - Descendant Communities,26,[REUSE PROCESS] Yes to Descendant Communities,421,3,2,1.225653207,22,7.054631829,,CARE,Collective Benefit
Do you have processes to actively facilitate the use and reuse of data by Indigenous Peoples and/or Descendant Communities represented in those data? - No - Indigenous Peoples,26,[REUSE PROCESS] No to Indigenous Peoples,421,3,2,1.368171021,18,8.451306413,,CARE,Collective Benefit
Do you have processes to actively facilitate the use and reuse of data by Indigenous Peoples and/or Descendant Communities represented in those data? - No - Descendant Communities,26,[REUSE PROCESS] No to Descendant Communities,421,3,2,1.358669834,22,9.724465558,,CARE,Collective Benefit
Do you have processes to actively facilitate the use and reuse of data by Indigenous Peoples and/or Descendant Communities represented in those data? - Donâ€™t know - Indigenous Peoples,26,[REUSE PROCESS] Don't know to Indigenous Peoples,421,3,2,1.232779097,18,6.444180523,,CARE,Collective Benefit
Do you have processes to actively facilitate the use and reuse of data by Indigenous Peoples and/or Descendant Communities represented in those data? - Donâ€™t know - Descendant Communities,26,[REUSE PROCESS] Don't know to Descendant Communities,421,3,2,1.213776722,22,6.976247031,,CARE,Collective Benefit
"Please provide examples of such processes: 
(Reminder: Keep your response general to not reveal personal or institutional details.)",27,[REUSE PROCESS] Text,416,119,61,4.747596154,375,27.80769231,,CARE,Collective Benefit
Is there funding or training to support use of data by Indigenous Peoples and/or Descendant Communities held by your work setting? - Lots of it! - Funding,28,[FUNDING OR TRAINING] Lots of funding,421,3,1,1,7,3.308788599,,CARE,Collective Benefit
Is there funding or training to support use of data by Indigenous Peoples and/or Descendant Communities held by your work setting? - Lots of it! - Training,28,[FUNDING OR TRAINING] Lots of training,421,3,1,1,8,3.209026128,,CARE,Collective Benefit
Is there funding or training to support use of data by Indigenous Peoples and/or Descendant Communities held by your work setting? - A limited amount - Funding,28,[FUNDING OR TRAINING] Limited funding,421,3,1,1,7,3.636579572,,CARE,Collective Benefit
Is there funding or training to support use of data by Indigenous Peoples and/or Descendant Communities held by your work setting? - A limited amount - Training,28,[FUNDING OR TRAINING] Limited training,421,3,1,1,8,3.665083135,,CARE,Collective Benefit
Is there funding or training to support use of data by Indigenous Peoples and/or Descendant Communities held by your work setting? - None - Funding,28,[FUNDING OR TRAINING] No funding,421,3,1,1,7,4.591448931,,CARE,Collective Benefit
Is there funding or training to support use of data by Indigenous Peoples and/or Descendant Communities held by your work setting? - None - Training,28,[FUNDING OR TRAINING] No training,421,3,1,1,8,4.643705463,,CARE,Collective Benefit
Is there funding or training to support use of data by Indigenous Peoples and/or Descendant Communities held by your work setting? - I don't know - Funding,28,[FUNDING OR TRAINING] I don't know - funding,421,3,1,1,7,3.988123515,,CARE,Collective Benefit
Is there funding or training to support use of data by Indigenous Peoples and/or Descendant Communities held by your work setting? - I don't know - Training,28,[FUNDING OR TRAINING] I don't know - training,421,3,1,1,8,4.304038005,,CARE,Collective Benefit
"Do you / your work setting have data use policies or user agreements that explicitly address Indigenous Peopleâ€™s rights to possess, use, consent, refuse, and reclaim data? - Selected Choice",29,"[POLICIES OR AGREEMENTS AUTHORITY TO CONTROL] Yes, No, I don't know",394,4,6,4.604060914,32,21.69035533,,CARE,Authority to Control
"Do you / your work setting have data use policies or user agreements that explicitly address Indigenous Peopleâ€™s rights to possess, use, consent, refuse, and reclaim data? - Yes (if yes, provide an example) - Text",29,[POLICIES OR AGREEMENTS AUTHORITY TO CONTROL] Yes - text,394,76,64,3.560913706,355,19.82741117,,CARE,Authority to Control
"Do you / your work setting have data use policies or user agreements that explicitly address Indigenous Peopleâ€™s rights to possess, use, consent, refuse, and reclaim data? - No (if no, describe why not) - Text",29,[POLICIES OR AGREEMENTS AUTHORITY TO CONTROL] No - text,393,137,77,5.709923664,409,31.43002545,,CARE,Authority to Control
Do you / your work setting have an inventory of the Indigenous and/or Descendant Community data that it holds? - Yes - Indigenous data,30,[DATA INVENTORY] Yes - Indigenous data,394,3,2,1.347715736,15,7.096446701,,CARE,Authority to Control
Do you / your work setting have an inventory of the Indigenous and/or Descendant Community data that it holds? - Yes - Descendant Community data,30,[DATA INVENTORY] Yes - Descendant Community data,394,3,3,1.487309645,25,8.076142132,,CARE,Authority to Control
Do you / your work setting have an inventory of the Indigenous and/or Descendant Community data that it holds? - No - Indigenous data,30,[DATA INVENTORY] No - Indigenous data,394,3,2,1.33248731,15,6.862944162,,CARE,Authority to Control
Do you / your work setting have an inventory of the Indigenous and/or Descendant Community data that it holds? - No - Descendant Community data,30,[DATA INVENTORY] No - Descendant Community data,394,3,3,1.725888325,25,10.91878173,,CARE,Authority to Control
Do you / your work setting have an inventory of the Indigenous and/or Descendant Community data that it holds? - Don't know - Indigenous data,30,[DATA INVENTORY] Don't know - Indigenous data,394,3,2,1.223350254,15,5.614213198,,CARE,Authority to Control
Do you / your work setting have an inventory of the Indigenous and/or Descendant Community data that it holds? - Don't know - Descendant Community data,30,[DATA INVENTORY] Don't know - Descendant Community data,394,3,3,1.446700508,25,7.847715736,,CARE,Authority to Control
How do you identify Indigenous Peoples and/or Descendant Communities in your data? - Selected Choice - Stand-alone document about the Indigenous Peoples and/or Descendant Community represented in data (e.g. requisition form or other),31,[HOW IDENTIFY PEOPLES IN DATA] Stand-alone document,394,3,17,5.060913706,130,34.2893401,,CARE,Authority to Control
How do you identify Indigenous Peoples and/or Descendant Communities in your data? - Selected Choice - Metadata fields,31,[HOW IDENTIFY PEOPLES IN DATA] Metadata fields,394,3,2,1.19035533,15,4.21319797,,CARE,Authority to Control
How do you identify Indigenous Peoples and/or Descendant Communities in your data? - Selected Choice - Controlled vocabulary / pick-list,31,"[HOW IDENTIFY PEOPLES IN DATA] Controlled vocab, pick-list",394,3,4,1.616751269,33,8.126903553,,CARE,Authority to Control
How do you identify Indigenous Peoples and/or Descendant Communities in your data? - Selected Choice - Free-text field,31,[HOW IDENTIFY PEOPLES IN DATA] Free-text field,394,3,2,1.187817259,15,4.177664975,,CARE,Authority to Control
How do you identify Indigenous Peoples and/or Descendant Communities in your data? - Selected Choice - Other (please explain),31,[HOW IDENTIFY PEOPLES IN DATA] Other,394,3,3,1.497461929,22,6.771573604,,CARE,Authority to Control
How do you identify Indigenous Peoples and/or Descendant Communities in your data? - Other (please explain) - Text,31,[HOW IDENTIFY PEOPLES IN DATA] Other - text,387,89,90,3.751937984,513,20.39793282,,CARE,Authority to Control
Which practices do you use before sharing Indigenous Peoplesâ€™ and/or Descendant Communitiesâ€™ data? - Secured access - Indigenous Peoples,32,[PRACTICES BEFORE SHARING] Secured access - Indigenous Peoples,394,3,2,1.317258883,18,7.687817259,,CARE,Authority to Control
Which practices do you use before sharing Indigenous Peoplesâ€™ and/or Descendant Communitiesâ€™ data? - Secured access - Descendant Communities,32,[PRACTICES BEFORE SHARING] Secured access - Descendant Communities,394,3,2,1.241116751,22,7.35786802,,CARE,Authority to Control
Which practices do you use before sharing Indigenous Peoplesâ€™ and/or Descendant Communitiesâ€™ data? - Permission forms - Indigenous Peoples,32,[PRACTICES BEFORE SHARING] Permission forms - Indigenous Peoples,394,3,2,1.241116751,18,6.555837563,,CARE,Authority to Control
Which practices do you use before sharing Indigenous Peoplesâ€™ and/or Descendant Communitiesâ€™ data? - Permission forms - Descendant Communities,32,[PRACTICES BEFORE SHARING] Permission forms - Descendant Communities,394,3,2,1.197969543,22,6.614213198,,CARE,Authority to Control
Which practices do you use before sharing Indigenous Peoplesâ€™ and/or Descendant Communitiesâ€™ data? - Data redaction (e.g. informed by Indigenous and/or Descendant Community engagement) - Indigenous Peoples,32,[PRACTICES BEFORE SHARING] Data redaction - Indigenous Peoples,394,3,2,1.271573604,18,7.007614213,,CARE,Authority to Control
Which practices do you use before sharing Indigenous Peoplesâ€™ and/or Descendant Communitiesâ€™ data? - Data redaction (e.g. informed by Indigenous and/or Descendant Community engagement) - Descendant Communities,32,[PRACTICES BEFORE SHARING] Data redaction - Descendant Communities,394,3,2,1.195431472,22,6.494923858,,CARE,Authority to Control
Which practices do you use before sharing Indigenous Peoplesâ€™ and/or Descendant Communitiesâ€™ data? - Data encryption - Indigenous Peoples,32,[PRACTICES BEFORE SHARING] Data encryption - Indigenous Peoples,394,3,2,1.121827411,18,4.766497462,,CARE,Authority to Control
Which practices do you use before sharing Indigenous Peoplesâ€™ and/or Descendant Communitiesâ€™ data? - Data encryption - Descendant Communities,32,[PRACTICES BEFORE SHARING] Data encryption - Descendant Communities,394,3,2,1.091370558,22,4.614213198,,CARE,Authority to Control
